original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
"['chair; furniture; arm; rocking; ladder back', 'chairs (furniture forms)', 'chair, rocking']",1,"chair; furniture; arm; rocking; ladder back; chairs; chair, rocking",chairs,chairs
"['chairs (furniture forms)', 'armchairs']",1,chairs; armchairs,chairs,chairs
['chalices'],1,chalices,chalices,chalices
['chamberpot'],1,chamberpot,chamberpot,chamberpots
"[""check, cashier's""]",1,"check, cashier's","check, cashier's","check, cashier's"
['check'],25,check,check,checks
"['check; signature', 'check']",6,check; signature; check,check,checks
"['check', 'manuscripts']",1,check; manuscripts,check,checks
"['john quincy adams', 'check']",1,john quincy adams; check,check,checks
['chemical furnace'],1,chemical furnace,chemical furnace,chemical furnaces
"['chemise, shift', 'chemise, shift; entire body; underwear; female']",5,"chemise, shift; chemise, shift; entire body; underwear; female","chemise, shift","chemise, shifts"
['chemise'],2,chemise,chemise,chemises
"['chemise; entire body; underwear; female', 'chemise']",1,chemise; entire body; underwear; female; chemise,chemise,chemises
"['chemistry set, portable']",1,"chemistry set, portable","chemistry set, portable","chemistry set, portables"
['chess sets'],5,chess sets,chess sets,chess sets
"['chest, blanket']",1,"chest, blanket","chest, blanket","chest, blankets"
"['chest; furniture', 'chests']",3,chest; furniture; chests,chests,chests
['chests'],3,chests,chests,chests
"['chest, blanket', 'chest; furniture', 'chests']",1,"chest, blanket; chest; furniture; chests",chests,chests
"['chest of drawers', 'chests']",1,chest of drawers; chests,chests,chests
"['chest; furniture', 'furniture', 'chests']",1,chest; furniture; furniture; chests,chests,chests
"['chronometer', 'pocket chronometer movement & dial; chronometer; mechanical, spring driven; english chronometer movement']",1,"chronometer; pocket chronometer movement & dial; chronometer; mechanical, spring driven; english chronometer movement",chronometer,chronometers
['churns'],1,churns,churns,churns
['cigarette boxes'],1,cigarette boxes,cigarette boxes,cigarette boxes
['circular'],1,circular,circular,circulars
['clarinets'],2,clarinets,clarinets,clarinets
['clavichord'],1,clavichord,clavichord,clavichords
"['cloak; outerwear; female', 'cloaks']",1,cloak; outerwear; female; cloaks,cloak; outerwear; female,cloak; outerwear; females
['clock movement in wooden case'],1,clock movement in wooden case,clock movement in wooden case,clock movement in wooden cases
"['clock movement, tall case']",1,"clock movement, tall case","clock movement, tall case","clock movement, tall cases"
"['clock, case']",1,"clock, case","clock, case","clock, cases"
"['finials', 'clock, tall case']",1,"finials; clock, tall case","clock, tall case","clock, tall cases"
"['case clock', 'clock, tall case']",1,"case clock; clock, tall case","clock, tall case","clock, tall cases"
"['clock, wall, factory']",1,"clock, wall, factory","clock, wall, factory","clock, wall, factories"
"['clock, tall', 'clock, tall case', 'clocks']",1,"clock, tall; clock, tall case; clocks",clocks,clocks
"['clock, tall; furniture', 'clocks']",1,"clock, tall; furniture; clocks",clocks,clocks
"['tall case clock, rittenhouse', 'tall clock, rittenhouse', 'clocks']",1,"tall case clock, rittenhouse; tall clock, rittenhouse; clocks",clocks,clocks
"['clock, shelf', 'clocks']",1,"clock, shelf; clocks",clocks,clocks
"['clock; mechanical, spring driven', 'clock, mantel', 'clocks']",1,"clock; mechanical, spring driven; clock, mantel; clocks",clocks,clocks
"['clock; mechanical, weight driven; tall case clock', 'clocks', 'clock, tall case']",1,"clock; mechanical, weight driven; tall case clock; clocks; clock, tall case",clocks,clocks
"['tower clock', 'clocks', 'clock; mechanical, weight driven; tower clock']",1,"tower clock; clocks; clock; mechanical, weight driven; tower clock",clocks,clocks
"['coaster, bottle']",1,"coaster, bottle","coaster, bottle","coaster, bottles"
"['frock coats', 'coat; coat, frock; upper body; main dress; male']",1,"frock coats; coat; coat, frock; upper body; main dress; male","coat; coat, frock; upper body; main dress; male",dresses
"['coat; man; officer', 'coats (garments)']",1,coat; man; officer; coats,coats,coats
"['coats (garments)', 'coat; man; army; brigadier general; officer']",1,coats; coat; man; army; brigadier general; officer,coats,coats
"['coat; man; army; general officer; officer', 'coats (garments)']",1,coat; man; army; general officer; officer; coats,coats,coats
"['coats (garments)', 'coat; coat, frock; upper body; main dress; male']",1,"coats; coat; coat, frock; upper body; main dress; male",coats,dresses
"['coats (garments)', 'coat; outerwear; female']",1,coats; coat; outerwear; female,coats,coats
"['coat; upper body; main dress; male', 'coats (garments)']",1,coat; upper body; main dress; male; coats,coats,dresses
['coffeepots'],4,coffeepots,coffeepots,coffeepots
['coin balance'],1,coin balance,coin balance,coin balances
"['coin, modified']",1,"coin, modified","coin, modified","coin, modifieds"
['coins (money)'],1075,coins,coins,coins
"['coins (money)', 'tokens']",39,coins; tokens,coins,coins
"['coins (money)', 'planchet']",1,coins; planchet,coins,coins
"['1 dollar', 'coins (money)']",1,1 dollar; coins,coins,coins
"['coins (money)', 'coin; hispanic collection']",1,coins; coin; hispanic collection,coins,coins
"['coins (money)', 'galvano', 'tokens']",1,coins; galvano; tokens,coins,coins
"['coins (money)', 'trial']",1,coins; trial,coins,coins
"['coins (money)', 'medals']",1,coins; medals,coins,coins
"['silver $1 coin, 1799', 'coins (money)']",1,"silver $1 coin, 1799; coins",coins,coins
"['us dollar', 'coins (money)']",1,us dollar; coins,coins,coins
"['comb, ornamental; headwear; accessories worn on the body; female', 'comb, ornamental']",1,"comb, ornamental; headwear; accessories worn on the body; female; comb, ornamental","comb, ornamental; headwear; accessories worn on the body; female","comb, ornamental; headwear; accessories worn on the body; females"
['combs (hair ornaments)'],1,combs,combs,combs
['commission'],2,commission,commission,commissions
"['compass, pocket']",1,"compass, pocket","compass, pocket","compass, pockets"
"['console; wall consoles, batch of two; furnishings', 'wall consoles, batch of two', 'console']",1,"console; wall consoles, batch of two; furnishings; wall consoles, batch of two; console",console,consoles
['console'],1,console,console,consoles
"['contract, indenture', 'indenture']",1,"contract, indenture; indenture","contract, indenture","contract, indentures"
"['cooler, water']",1,"cooler, water","cooler, water","cooler, waters"
"['cooler, wine']",2,"cooler, wine","cooler, wine","cooler, wines"
['cope'],1,cope,cope,copes
['coquillage'],1,coquillage,coquillage,coquillages
['cord (fiber product)'],2,cord,cord,cords
"['cork driver; kitchen utensils', 'corker, bottle']",1,"cork driver; kitchen utensils; corker, bottle",cork driver; kitchen utensils,cork driver; kitchen utensils
"['sheet (paper); manuscript', 'correspondence']",95,sheet ; manuscript; correspondence,correspondence,correspondences
"['correspondence', 'covers & letters']",84,correspondence; covers & letters,correspondence,correspondences
['correspondence'],20,correspondence,correspondence,correspondences
"['correspondence', 'manuscripts']",2,correspondence; manuscripts,correspondence,correspondences
"['correspondence', 'letter; sheet (paper); manuscript']",1,correspondence; letter; sheet ; manuscript,correspondence,correspondences
"['documents', 'correspondence']",1,documents; correspondence,correspondence,correspondences
"['correspondence', 'sheets (paper); manuscript']",1,correspondence; sheets ; manuscript,correspondence,correspondences
"['corset waist; upper body; underwear; female', 'corset waist']",1,corset waist; upper body; underwear; female; corset waist,corset waist; upper body; underwear; female,corset waist; upper body; underwear; females
"['neckcloth; neckwear; accessories worn on the body; female', 'neckwear', 'costume accessories worn', 'neckcloth']",6,neckcloth; neckwear; accessories worn on the body; female; neckwear; costume accessories worn; neckcloth,costume accessories worn,costume accessories worns
"['stockings', 'costume accessories worn', 'footwear']",4,stockings; costume accessories worn; footwear,costume accessories worn,costume accessories worns
"['handwear', 'costume accessories worn', 'mitts, pair of; handwear; accessories worn on the body; female', 'mitts', 'mitts, pair of']",3,"handwear; costume accessories worn; mitts, pair of; handwear; accessories worn on the body; female; mitts; mitts, pair of",costume accessories worn,costume accessories worns
"['costume accessories worn', 'caps (headgear)', 'cap; headwear; accessories worn on the body; female', 'headgear']",2,costume accessories worn; caps; cap; headwear; accessories worn on the body; female; headgear,costume accessories worn,costume accessories worns
"['neckwear', 'costume accessories worn']",1,neckwear; costume accessories worn,costume accessories worn,costume accessories worns
"['costume accessories worn', 'brooch; jewelry; accessories worn on the body; female', 'jewelry', 'brooches']",1,costume accessories worn; brooch; jewelry; accessories worn on the body; female; jewelry; brooches,costume accessories worn,costume accessories worns
"['costume accessories worn', 'jewelry', 'buckles (strap accessories)', 'buckles, knee']",1,"costume accessories worn; jewelry; buckles; buckles, knee",costume accessories worn,costume accessories worns
"['buckles, shoe', 'costume accessories worn', 'jewelry', 'buckles (strap accessories)']",1,"buckles, shoe; costume accessories worn; jewelry; buckles",costume accessories worn,costume accessories worns
"['calash', 'costume accessories worn', 'calash; headwear; accessories worn on the body; female', 'headgear']",1,calash; costume accessories worn; calash; headwear; accessories worn on the body; female; headgear,costume accessories worn,costume accessories worns
"['handwear', 'gloves', 'costume accessories worn', 'gloves, pair of; handwear; accessories worn on the body; female']",1,"handwear; gloves; costume accessories worn; gloves, pair of; handwear; accessories worn on the body; female",costume accessories worn,costume accessories worns
"['aprons (main garments)', 'apron; accessories worn on the body; female', 'costume accessories worn']",1,aprons; apron; accessories worn on the body; female; costume accessories worn,costume accessories worn,costume accessories worns
"['counterpane, printed']",1,"counterpane, printed","counterpane, printed","counterpane, printeds"
['counterpanes'],1,counterpanes,counterpanes,counterpanes
['coverlet fragment'],4,coverlet fragment,coverlet fragment,coverlet fragments
"['coverlet panel, summer and winter', 'coverlet panel']",1,"coverlet panel, summer and winter; coverlet panel","coverlet panel, summer and winter","coverlet panel, summer and winters"
"['coverlet panels, overshot']",1,"coverlet panels, overshot","coverlet panels, overshot","coverlet panels, overshots"
"['coverlet, geometric']",7,"coverlet, geometric","coverlet, geometric","coverlet, geometrics"
"['coverlet, multi harness']",1,"coverlet, multi harness","coverlet, multi harness","coverlet, multi harness"
"['coverlet, summer and winter']",2,"coverlet, summer and winter","coverlet, summer and winter","coverlet, summer and winters"
"['coverlet, twill']",1,"coverlet, twill","coverlet, twill","coverlet, twills"
"['coverlet, geometric', 'coverlet']",5,"coverlet, geometric; coverlet",coverlet,coverlets
"['pine tree', 'coverlet, geometric', 'coverlets', 'coverlet', 'snowballs', 'double weave']",1,"pine tree; coverlet, geometric; coverlets; coverlet; snowballs; double weave",coverlet,coverlets
"['coverlets', 'coverlet fragment, geometric']",1,"coverlets; coverlet fragment, geometric",coverlets,coverlets
"['coverlet, twill weave', 'coverlet', 'coverlet, twill']",1,"coverlet, twill weave; coverlet; coverlet, twill",coverlet,coverlets
"['covers (overlying objects)', 'mantle, torah']",1,"covers; mantle, torah",covers,covers
"[""cradles (children's beds)"", 'cradle; doll furnishings; toys']",1,cradles; cradle; doll furnishings; toys,cradles,cradles
"[""cradles (children's beds)"", 'cradle; furniture']",1,cradles; cradle; furniture,cradles,cradles
"[""cradles (children's beds)""]",1,cradles,cradles,cradles
['crayon holders'],1,crayon holders,crayon holders,crayon holders
['crayon holder'],1,crayon holder,crayon holder,crayon holders
['creamers'],7,creamers,creamers,creamers
['crests (motifs)'],1,crests,crests,crests
"['cross, rounded', 'cross, rounded; historical']",2,"cross, rounded; cross, rounded; historical","cross, rounded","cross, roundeds"
"['crosses (visual works)', 'cross; historical']",5,crosses; cross; historical,crosses,crosses
"['cuff links', 'cuff links', 'cuff links; jewelry; accessories worn on the body; male']",1,cuff links; cuff links; cuff links; jewelry; accessories worn on the body; male,cuff links,cuff links
"['cuffs, pair of', 'cuffs, pair of; armwear; accessories worn on the body; female']",1,"cuffs, pair of; cuffs, pair of; armwear; accessories worn on the body; female","cuffs, pair of","cuffs, pair oves"
['cup and saucer'],1,cup and saucer,cup and saucer,cup and saucers
"['cup, punch']",5,"cup, punch","cup, punch","cup, punches"
"['cup, standing']",1,"cup, standing","cup, standing","cup, standings"
"['cup, two handled']",1,"cup, two handled","cup, two handled","cup, two handleds"
['cupboards'],1,cupboards,cupboards,cupboards
"['cups', 'saucers (plates)']",29,cups; saucers,cups,cups
['cups'],4,cups,cups,cups
"['cups', ""cup, child's""]",1,"cups; cup, child's",cups,cups
"['curfew', 'curfew; fire making apparatus', 'lid, tinderbox']",1,"curfew; curfew; fire making apparatus; lid, tinderbox",curfew,curfews
"['cutlass; edged weapons; navy', 'cutlasses']",2,cutlass; edged weapons; navy; cutlasses,cutlasses,cutlasses
